"Title","Artist","Rank","Chart Date","Imprint"
"Who's The Boss?","Antoinette",23,"1989-07-15","Next Plateau"
"Who's The Boss?","Antoinette",20,"1989-07-29","Next Plateau"
"Who's The Boss?","Antoinette",17,"1989-08-12","Next Plateau"
"Who's The Boss?","Antoinette",17,"1989-08-26","Next Plateau"
"Who's The Boss?","Antoinette",20,"1989-09-09","Next Plateau"
"Steppin' Into The A.M.","3rd Bass",18,"1989-11-04","Def Jam"
"Steppin' Into The A.M.","3rd Bass",11,"1989-11-11","Def Jam"
"Frankly Speaking","Awesome Dre & The Hard Core Committee",24,"1989-11-11","Priority"
"Steppin' Into The A.M.","3rd Bass",7,"1989-11-18","Def Jam"
"Frankly Speaking","Awesome Dre & The Hard Core Committee",20,"1989-11-18","Priority"
"She's Got A Big Posse","Arabian Prince",30,"1989-11-18","Orpheus"
"Steppin' Into The A.M.","3rd Bass",7,"1989-11-25","Def Jam"
"Frankly Speaking","Awesome Dre & The Hard Core Committee",14,"1989-11-25","Priority"
"She's Got A Big Posse","Arabian Prince",27,"1989-11-25","Orpheus"
"Steppin' Into The A.M.","3rd Bass",6,"1989-12-02","Def Jam"
"Frankly Speaking","Awesome Dre & The Hard Core Committee",11,"1989-12-02","Priority"
"She's Got A Big Posse","Arabian Prince",15,"1989-12-02","Orpheus"
"Steppin' Into The A.M.","3rd Bass",5,"1989-12-09","Def Jam"
"Frankly Speaking","Awesome Dre & The Hard Core Committee",11,"1989-12-09","Priority"
"She's Got A Big Posse","Arabian Prince",13,"1989-12-09","Orpheus"
"Steppin' Into The A.M.","3rd Bass",5,"1989-12-16","Def Jam"
"Frankly Speaking","Awesome Dre & The Hard Core Committee",9,"1989-12-16","Priority"
"She's Got A Big Posse","Arabian Prince",11,"1989-12-16","Orpheus"
"Steppin' Into The A.M.","3rd Bass",6,"1989-12-23","Def Jam"
"Frankly Speaking","Awesome Dre & The Hard Core Committee",9,"1989-12-23","Priority"
"She's Got A Big Posse","Arabian Prince",10,"1989-12-23","Orpheus"
"Steppin' Into The A.M.","3rd Bass",6,"1989-12-30","Def Jam"
"Frankly Speaking","Awesome Dre & The Hard Core Committee",7,"1989-12-30","Priority"
"She's Got A Big Posse","Arabian Prince",9,"1989-12-30","Orpheus"
"Steppin' Into The A.M.","3rd Bass",6,"1990-01-06","Def Jam"
"Frankly Speaking","Awesome Dre & The Hard Core Committee",7,"1990-01-06","Priority"
"She's Got A Big Posse","Arabian Prince",9,"1990-01-06","Orpheus"
"Frankly Speaking","Awesome Dre & The Hard Core Committee",7,"1990-01-13","Priority"
"She's Got A Big Posse","Arabian Prince",12,"1990-01-13","Orpheus"
"Steppin' Into The A.M.","3rd Bass",13,"1990-01-13","Def Jam"
